1660595511,"[-0.010986328125, 0.02783203125, 1.103515625]","[3.39508056640625, 6.1492919921875, 5.30242919921875]","[-90, 380, -1046]"
1660595512,"[0.0478515625, 0.10205078125, 1.115966796875]","[3.16619873046875, 6.28662109375, 4.11224365234375]","[-90, 382, -1036]"
1660595512,"[-0.022705078125, 0.094482421875, 1.095947265625]","[2.89154052734375, 4.241943359375, 4.29534912109375]","[-87, 383, -1042]"
1660595513,"[0.01318359375, 0.011474609375, 1.071533203125]","[3.8909912109375, 5.36346435546875, 4.26483154296875]","[-94, 378, -1047]"
1660595513,"[-0.011474609375, 0.1005859375, 1.08154296875]","[2.26593017578125, 6.6375732421875, 4.6539306640625]","[-77, 378, -1031]"
1660595514,"[0.0068359375, 0.03076171875, 1.087890625]","[2.0294189453125, 4.5166015625, 4.93621826171875]","[-89, 388, -1042]"
1660595514,"[0.00390625, 0.0361328125, 1.06298828125]","[1.28936767578125, 4.4708251953125, 2.2430419921875]","[-95, 372, -1048]"
1660595515,"[-0.072998046875, 0.0126953125, 1.134765625]","[2.99072265625, 5.2947998046875, 3.53240966796875]","[-84, 381, -1045]"
1660595515,"[-0.03955078125, 0.03564453125, 1.106689453125]","[3.936767578125, 4.55474853515625, 3.63922119140625]","[-88, 382, -1046]"
1660595516,"[0.0126953125, 0.04541015625, 1.130126953125]","[3.73077392578125, 5.767822265625, 2.86865234375]","[-82, 381, -1038]"
1660595516,"[0.07177734375, 0.071044921875, 1.070556640625]","[2.37274169921875, 6.04248046875, 4.7149658203125]","[-84, 378, -1033]"
1660595517,"[-0.00634765625, 0.029052734375, 1.07666015625]","[2.4261474609375, 6.40106201171875, 5.06591796875]","[-96, 388, -1045]"
1660595517,"[0.033935546875, 0.0791015625, 1.13818359375]","[2.05230712890625, 4.82940673828125, 4.20379638671875]","[-95, 375, -1043]"
1660595517,"[-0.02392578125, 0.057373046875, 1.08837890625]","[3.19671630859375, 5.34820556640625, 4.6234130859375]","[-96, 390, -1047]"
1660595518,"[-0.0322265625, 0.0361328125, 1.104736328125]","[2.7313232421875, 5.95855712890625, 5.3863525390625]","[-95, 382, -1055]"
1660595518,"[0.00537109375, 0.018310546875, 1.093994140625]","[3.23486328125, 5.59234619140625, 3.91387939453125]","[-91, 374, -1047]"
1660595519,"[-0.011474609375, -0.0078125, 1.094482421875]","[4.0130615234375, 5.92041015625, 6.805419921875]","[-90, 382, -1036]"
1660595519,"[0.01904296875, 0.038330078125, 1.12841796875]","[2.84576416015625, 4.70733642578125, 3.05938720703125]","[-94, 395, -1035]"
1660595520,"[-0.015869140625, 0.0341796875, 1.096435546875]","[3.0670166015625, 5.25665283203125, 4.1961669921875]","[-102, 380, -1030]"
1660595520,"[-0.03857421875, 0.03759765625, 1.128662109375]","[2.70843505859375, 5.4168701171875, 4.5013427734375]","[-89, 388, -1019]"
1660595521,"[0.02685546875, 0.042236328125, 1.1103515625]","[2.74658203125, 5.33294677734375, 3.13568115234375]","[-97, 387, -1020]"
1660595521,"[0.015625, 0.059326171875, 1.09716796875]","[2.78472900390625, 6.4697265625, 3.5247802734375]","[-87, 388, -1026]"
1660595521,"[0.001953125, 0.076416015625, 1.12060546875]","[2.8076171875, 5.9661865234375, 4.6844482421875]","[-102, 394, -1027]"
1660595522,"[-0.04541015625, 0.051513671875, 1.075439453125]","[3.37982177734375, 5.42449951171875, 5.05828857421875]","[-103, 388, -1035]"
1660595522,"[-0.006591796875, 0.08837890625, 1.082275390625]","[3.48663330078125, 5.37109375, 3.71551513671875]","[-84, 383, -1035]"
1660595523,"[-0.007568359375, 0.041259765625, 1.10888671875]","[2.9449462890625, 5.59234619140625, 3.63922119140625]","[-99, 388, -1028]"
1660595523,"[0.0107421875, 0.081298828125, 1.098876953125]","[3.6773681640625, 7.1258544921875, 5.63812255859375]","[-90, 380, -1050]"
1660595524,"[0.042724609375, 0.02783203125, 1.082275390625]","[3.9215087890625, 4.28009033203125, 5.51605224609375]","[-95, 377, -1043]"
1660595524,"[-0.017578125, 0.0693359375, 1.1171875]","[4.05120849609375, 5.57708740234375, 4.20379638671875]","[-84, 376, -1056]"
1660595525,"[-0.0849609375, 0.048095703125, 1.092041015625]","[2.92205810546875, 5.92041015625, 3.71551513671875]","[-94, 388, -1047]"
1660595525,"[-0.005615234375, 0.085205078125, 1.117919921875]","[3.63922119140625, 4.82177734375, 4.08935546875]","[-99, 388, -1040]"
1660595526,"[0.013916015625, 0.030029296875, 1.1357421875]","[4.0283203125, 6.29425048828125, 5.25665283203125]","[-88, 377, -1039]"
1660595526,"[-0.048828125, 0.051025390625, 1.062255859375]","[4.00543212890625, 5.8135986328125, 5.76019287109375]","[-93, 389, -1043]"
1660595527,"[-0.027587890625, 0.081298828125, 1.1103515625]","[3.0975341796875, 4.9591064453125, 4.47845458984375]","[-93, 377, -1043]"
1660595527,"[-0.0029296875, 0.011962890625, 1.061279296875]","[2.6397705078125, 5.0811767578125, 5.828857421875]","[-83, 377, -1032]"
1660595527,"[0.0029296875, 0.03564453125, 1.111572265625]","[4.4708251953125, 5.9356689453125, 6.00433349609375]","[-90, 396, -1036]"
1660595528,"[-0.007568359375, 0.062255859375, 1.10693359375]","[2.95257568359375, 5.18798828125, 5.0506591796875]","[-81, 380, -1036]"
1660595528,"[-0.004150390625, 0.0537109375, 1.10009765625]","[1.9989013671875, 5.24139404296875, 6.46209716796875]","[-101, 381, -1033]"
1660595529,"[-0.068603515625, 0.00830078125, 1.0908203125]","[1.8463134765625, 5.1422119140625, 3.6163330078125]","[-83, 399, -1053]"
